Josh	AD	Cameron	Lou	Fisher	Franks	Corbin	Steve	Gilbert	MB
Aaron Hicks	Ian Desmond	Adam Eaton	Martin Prado	Alcides Escobar	Hanley Ramirez	Brandon Belt	Nelson Cruz	Johnny Cueto	Madison Bumgarner
James Shields	Hunter Pence	Alex Rios	Mike Napoli	Jordan Zimmermann	Adam LaRoche	Tim Lincecum	Michael Morse	Ian Kennedy	Anthony Rizzo
C.J. Wilson	Jonathon Niese	Carlos Gomez	Adam Dunn	Jake Peavy	Jeff Samardzija	Josh Reddick	Brian McCann	Brett Gardner	Josh Johnson
Andre Ethier	Shane Victorino	Lance Lynn	Chris Davis	Dan Haren	Jayson Werth	Chase Utley	J.J. Hardy	Hiroki Kuroda	David Freese
Corey Hart	Rafael Soriano	Matt Harvey	Josh Willingham	Paul Konerko	Tommy Milone	Carlos Beltran	Dan Uggla	Wade Miley	Melky Cabrera
Howie Kendrick	Kevin Youkilis	Angel Pagan	Kyle Seager	Mike Minor	Jeremy Hellickson	Ryan Vogelsong	Jesus Montero	Danny Espinosa	Victor Martinez
Colby Rasmus	Trevor Cahill	Erick Aybar	Norichika Aoki	Kendrys Morales	Lance Berkman	Ichiro Suzuki	Homer Bailey	Cameron Maybin	Doug Fister
Mark Teixeira	Michael Cuddyer	Jason Grilli	Derek Holland	Neil Walker	Wilin Rosario	Mariano Rivera	Marco Scutaro	Jason Motte	Nick Swisher
Kyle Lohse	Joe Nathan	Kenley Jansen	Glen Perkins	Alexi Ogando	Greg Holland	Will Middlebrooks	Alex Cobb	Phil Hughes	Anibal Sanchez
Jaime Garcia	Emilio Bonifacio	Torii Hunter	Garrett Jones	Huston Street	Josh Beckett	Grant Balfour	Brandon Crawford	Justin Morneau	Josh Rutledge
J.J. Putz	Starling Marte	Alejandro De Aza		Tim Hudson		Jonathan Lucroy	Sergio Romo		Matt Garza
Addison Reed	Fernando Rodney	Miguel Montero		Carlos Quentin		Marco Estrada			Brandon Moss
	Salvador Perez	Ryan Cook		Brandon McCarthy		Lorenzo Cain			Dayan Viciedo
	John Axford			David Robertson					Edwin Jackson
				Jake McGee					Chris Tillman
